ГОРЕ,f
ЕГЕРЬ,f
РОМАШКА,t
АРБУЗ,t
ЗАНОЗА,f
АЛГЕБРА,f
АСТЕРОИД,f
ДЕЛО,f
ОЗНОБ,f
БАКЛАЖАН,t
НИТКА,f
АВТОБУС,f
СКАТЕРТЬ,f
ТЕЛЕФОН,f
НАРЦИСС,f
СОЛНЦЕ,f
ЕГОЗА,f
АГРОНОМ,f
МОДЕЛЬ,f
ЛЕТО,f
ОБЪЕКТ,f
ТУР,f
РАССКАЗ,f
ЗАЯЦ,t
ЦИРКУЛЬ,f
ЛИСТОПАД,f
ДИЕТА,f
РОМАН,f
НОСТАЛЬГИЯ,f
ЯД,f
ДОНОР,f
РОК,f
КОРЖ,t
ЖИР,t
РАЗМАХ,f
ХЛЕБ,t
БУЛКА,t
АКВАЛАНГ,f
ГЕРБ,f
БОРЩ,t
ЩИ,t
ИСКРА,f
АПЕЛЬСИН,t
АББАТ,f
ТАБЛЕТКА,t
АНТРАКТ,f
ТЕРМИНАЛ,f
ЛАБИРИНТ,f
ТОРНАДО,f
ОБЛАКО,f
ОТЧЕТ,f
ТАМАДА,f
АНТИЛОПА,t
АКВАРЕЛЬ,f
АКВАРИУМ,f
МРАМОР,f
РИКОШЕТ,f
ТЮЛЕНЬ,t
АБРИКОС,t
САЛО,t
ОБЕЛИСК,f
КАРАСЬ,t
СЛУЧАЙ,f
ЙОГ,f
ГАЗЕЛЬ,t
ЛИМОН,t
НЕЗАБУДКА,f
АВТОРИТЕТ,f
ТОРС,f
СЛИВА,t
АВТОРЫНОК,f
УРАВНЕНИЕ,f
ЖИЖА,f
ТРЕНЧ,f
ЧАЙ,t
ЙОД,f
ДОСТОПРИМЕЧАТЕЛЬНОСТЬ,f
ТОЧНОСТЬ,f
ТАРАКАН,f
НЕКТАРИН,t
НАСЛАЖДЕНИЕ,f
ЕЖЕВИКА,t
АКЦИЯ,f
ЯЙЦО,t
ОЛИВКИ,t
ПИВО,t
ОЧКИ,f
ИРИС,t
СЕЙФ,f
ФИСТАШКИ,t
ИНСТРУМЕНТ,f
ТВОРОГ,t
ГРАЖДАНИН,f
НАСТОЙКА,t
АВТОМОБИЛЬ,f
НЕЖНОСТЬ,f
ТАБУРЕТ,f
АКТЕР,f
АВИТАМИНОЗ,f
ЦЕМЕНТ,f
ТИРАМИСУ,t
УГОЛЬ,f
ЛАЙМ,t
МЕТР,f
РЕДИС,t
САЖЕНЕЦ,f
ТЕРКА,f
НАСОС,f
САХАР,t
РЮКЗАК,f
КРЕКЕР,t
РЕМОНТ,f
ТРЮФЕЛЬ,t
ЛИСТ,f
ГОРА,f
АЙВА,t
АСПИРИН,t
НАПИТОК,t
КРЕСТ,f
КИВИ,t
ИНСТИТУТ,f
ТЫКВА,t
АМАЗОНКА,f
СУРОК,f
КУРИЦА,t
АРМАГЕДДОН,f
НАЛИМ,t
МЫЛО,f
САРДИНА,t
АНАНАС,t
СЕВЕР,f
РЕВЕНЬ,t
НОСОРОГ,t
ГРУША,t
АЙСБЕРГ,f
ГЛИНТВЕЙН,t
КЕКС,t
САЧОК,f
КУРАГА,t
АВАНТЮРА,f
АЛЫЧА,t
АНТИПОД,f
ДРАНИК,t
КАЙЛО,f
ОГУРЕЦ,t
НАЖДАК,f
КОНФЕТА,t
АТЛАС,f
СОСИСКА,t
АВАНГАРД,f
ИСЛАМ,f
МАЛИНА,t
АВТОПИЛОТ,f
ТЮРЯ,t
ЯКОРЬ,f
РИС,t
СТОЛ,f
ЛЕДЕНЕЦ,t
ЦУНАМИ,f
ИМБИРЬ,t
РАССВЕТ,f
ТМИН,t
НЕВОД,f
ДЕСЕРТ,t
ТРАМВАЙ,f
ЙОГУРТ,t
ТУРИЗМ,f
МАРМЕЛАД,t
ДРОЗД,f
ДЫНЯ,t
ЯМА,f
ТРОМБОН,f
ТОРТ,t
СОК,t
КАНДЕЛЯБР,f
РАССОЛ,t
ЛАМИНАТ,f
ТЕРПУГ,t
ГАЗОН,f
ПОДЛИВА,t
ЭЛЕШ,t
НУГА,t
АБАЖУР,f
КОТЛЕТА,t
